Year,Avg. Pace,PLAYER,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,TS%,3PM,DEFWS,USG%,PIE,Prior ASG Appearances,AS Last Year?
2019,100.3,Avery Bradley,LAL,1,29,43,21,7.7,2.3,1.1,0.9,0.1,1.1,51.3,0.7,0.002,15.5,4.6,0,0
2019,100.3,P.J. Tucker,HOU,6,42,42,26,7.7,7.1,1.4,1.1,0.4,1.2,59.6,1.5,0.002,8.9,6.2,0,0
2019,100.3,Jordan Poole,GSW,15,38,45,8,7.7,2.0,1.9,0.7,0.2,1.0,40.5,1.3,0.001,19.4,3.8,0,0
2019,100.3,Sekou Doumbouya,DET,9,17,44,6,7.7,3.1,0.5,0.5,0.2,0.6,55.8,0.8,0.002,17.0,6.7,0,0
2019,100.3,Austin Rivers,HOU,6,38,42,25,7.7,2.3,1.6,0.6,0.2,0.6,50.8,1.1,0.001,14.3,5.1,0,0
2019,100.3,Dwight Howard,LAL,1,43,43,34,7.7,7.6,0.7,0.4,1.4,1.3,70.1,0.1,0.002,14.2,11.6,8,0
2019,100.3,Bismack Biyombo,CHA,11,42,45,13,7.6,5.9,0.9,0.2,0.9,0.9,57.3,0.0,0.001,17.1,10.1,0,0
2019,100.3,Daniel Theis,BOS,4,38,42,24,7.6,6.0,1.6,0.7,1.4,0.8,58.3,0.4,0.002,14.1,9.4,0,0
2019,100.3,Omari Spellman,MIN,13,42,43,9,7.6,4.7,1.0,0.7,0.5,1.1,55.9,0.9,0.001,17.6,10.8,0,0
2019,100.3,Emmanuel Mudiay,UTA,3,40,43,28,7.6,2.5,2.4,0.4,0.2,1.4,54.7,0.6,0.002,21.1,9.9,0,0
2019,100.3,Grayson Allen,MEM,8,28,43,13,7.5,2.2,1.4,0.2,0.0,0.8,58.1,1.2,0.001,17.2,8.1,0,0
2019,100.3,Marc Gasol,TOR,3,31,43,23,7.5,6.4,3.5,0.9,1.0,1.3,52.4,1.4,0.003,12.9,8.7,3,0
2019,100.3,Kevin Knox II,NYK,13,43,44,12,7.4,3.2,1.1,0.5,0.4,0.7,49.3,1.2,0.001,17.5,7.0,0,0
2019,100.3,Mikal Bridges,PHX,11,43,43,18,7.4,3.7,1.3,1.3,0.4,0.9,62.5,0.6,0.002,11.9,8.5,0,0
2019,100.3,Terence Davis,TOR,3,43,43,29,7.4,3.4,1.9,0.5,0.2,1.0,60.1,1.3,0.002,17.3,11.7,0,0
2019,100.3,Monte Morris,DEN,3,43,43,30,7.4,1.6,3.5,0.7,0.2,0.6,50.6,0.7,0.002,17.3,10.5,0,0
2019,100.3,Mason Plumlee,DEN,3,43,43,30,7.4,5.6,2.4,0.5,0.6,1.5,60.9,0.0,0.002,17.9,12.6,0,0
2019,100.3,Kelly Olynyk,MIA,2,39,43,28,7.4,4.5,1.2,0.7,0.3,1.1,61.4,1.3,0.001,15.0,9.4,0,0
2019,100.3,Wesley Matthews,MIL,1,42,45,36,7.4,2.5,1.4,0.7,0.1,0.7,55.4,1.5,0.003,12.2,5.6,0,0
2019,100.3,Marquese Chriss,GSW,15,40,45,10,7.4,5.4,1.8,0.6,0.9,1.4,56.9,0.1,0.001,18.3,11.8,0,0
2019,100.3,JaVale McGee,LAL,1,43,43,34,7.3,5.9,0.7,0.6,1.7,0.8,66.2,0.1,0.001,15.4,12.2,0,0
2019,100.3,Ky Bowman,GSW,15,37,45,9,7.3,2.5,2.8,1.0,0.1,1.3,49.0,0.8,0.002,16.4,6.6,0,0
2019,100.3,Jalen Brunson,DAL,5,43,43,27,7.3,2.4,3.2,0.4,0.1,1.0,54.0,0.7,0.002,19.2,10.8,0,0
2019,100.3,Malik Beasley,MIN,13,33,43,21,7.3,1.7,0.9,0.6,0.2,0.8,51.9,1.4,0.001,19.2,6.7,0,0
2019,100.3,Kris Dunn,CHI,10,45,45,16,7.2,3.5,3.3,2.0,0.3,1.3,48.6,0.6,0.002,14.7,7.4,0,0
2019,100.3,Michael Porter Jr.,DEN,3,34,43,25,7.2,3.7,0.7,0.3,0.4,0.7,63.0,0.8,0.001,20.5,12.1,0,0
2019,100.3,Delon Wright,DAL,5,41,43,26,7.1,3.6,3.1,1.3,0.4,0.8,57.0,0.6,0.002,14.5,12.0,0,0
2019,100.3,Keita Bates-Diop,DEN,3,31,43,8,7.1,3.0,0.6,0.5,0.5,0.4,54.6,1.0,0.001,15.8,8.8,0,0
2019,100.3,Hamidou Diallo,OKC,7,24,44,12,7.0,3.1,0.7,1.0,0.2,1.0,47.2,0.2,0.002,17.9,5.1,0,0
2019,100.3,Marvin Williams,MIL,1,36,45,12,6.9,2.6,0.9,0.7,0.4,0.6,60.4,1.1,0.001,13.5,7.7,0,0
2019,100.3,James Johnson,MIN,13,13,43,7,6.8,3.1,0.8,0.2,0.7,0.6,67.3,1.2,0.001,16.1,9.6,0,0
2019,100.3,JaMychal Green,LAC,2,35,44,25,6.7,6.5,0.7,0.5,0.4,1.0,54.3,1.3,0.002,13.4,8.1,0,0
2019,100.3,T.J. McConnell,IND,6,42,44,27,6.7,2.6,5.3,0.6,0.1,1.4,54.0,0.1,0.001,17.0,12.7,0,0
2019,100.3,Trey Burke,PHI,5,22,45,12,6.6,1.5,2.3,0.3,0.0,0.5,56.2,0.7,0.001,19.1,11.6,0,0
2019,100.3,PJ Dozier,DEN,3,4,43,3,6.5,2.0,2.0,0.0,0.0,0.8,48.1,0.5,0.002,20.8,7.4,0,0
2019,100.3,Kyle Korver,MIL,1,39,45,33,6.4,1.9,1.2,0.5,0.2,0.8,62.3,1.7,0.002,14.0,7.2,1,0
2019,100.3,Boban Marjanovic,DAL,5,22,43,13,6.4,4.6,0.4,0.2,0.2,0.8,59.6,0.1,0.001,24.8,13.9,0,0
2019,100.3,CJ Miles,WAS,11,10,42,4,6.4,1.2,1.2,1.0,0.4,0.4,47.2,1.1,0.001,16.9,4.8,0,0
2019,100.3,James Ennis III,ORL,7,43,44,29,6.4,3.3,0.9,0.5,0.3,0.7,57.3,0.9,0.001,15.1,7.3,0,0
2019,100.3,Cory Joseph,SAC,13,43,43,15,6.4,2.7,3.5,0.7,0.3,1.2,48.0,0.7,0.002,13.4,6.3,0,0
2019,100.3,Wilson Chandler,BKN,8,14,42,4,6.4,4.6,1.3,0.6,0.4,1.1,54.7,0.9,0.002,14.3,9.4,0,0
2019,100.3,Tyus Jones,MEM,8,43,43,20,6.3,1.6,4.6,0.9,0.1,1.0,50.7,0.5,0.001,15.4,9.8,0,0
2019,100.3,Dwayne Bacon,CHA,11,35,45,8,6.3,2.5,1.4,0.6,0.1,0.9,42.9,0.5,0.001,19.2,5.1,0,0
2019,100.3,Frank Jackson,NOP,12,35,44,14,6.3,1.3,0.8,0.4,0.1,0.9,50.4,0.8,0.0,20.2,4.4,0,0
2019,100.3,Brad Wanamaker,BOS,4,41,42,28,6.3,2.0,2.7,0.6,0.2,1.1,55.1,0.4,0.002,15.5,8.4,0,0
2019,100.3,Gary Payton II,WAS,11,14,42,6,6.2,4.0,2.6,1.9,0.4,1.2,50.0,0.6,0.0,13.7,8.9,0,0
2019,100.3,Royce O'Neale,UTA,3,43,43,30,6.2,5.0,2.6,0.8,0.3,0.8,61.6,1.3,0.003,8.6,7.1,0,0
2019,100.3,Garrison Mathews,WAS,11,15,42,6,6.2,1.5,0.7,0.2,0.1,0.5,72.6,1.2,0.001,14.0,9.1,0,0
2019,100.3,Abdel Nader,OKC,7,32,44,21,6.2,1.6,0.8,0.3,0.3,0.9,59.5,0.9,0.002,15.9,6.5,0,0
2019,100.3,Frank Ntilikina,NYK,13,40,44,11,6.1,2.2,3.2,1.0,0.4,1.4,48.9,0.8,0.001,14.6,6.0,0,0
2019,100.3,Meyers Leonard,MIA,2,43,43,30,6.1,5.0,1.2,0.3,0.3,0.7,65.1,1.0,0.002,11.6,9.0,0,0
2019,100.3,Justin Jackson,DAL,5,38,43,25,6.1,2.4,0.6,0.2,0.1,0.2,51.5,0.9,0.001,15.6,6.5,0,0
2019,100.3,Damian Jones,ATL,15,39,44,9,6.1,3.6,0.6,0.4,0.8,0.5,71.9,0.1,0.0,11.9,7.9,0,0
2019,100.3,Allonzo Trier,NYK,13,20,44,2,6.0,1.3,1.2,0.1,0.2,1.0,58.7,0.8,0.001,20.3,8.0,0,0
2019,100.3,Chris Boucher,TOR,3,38,43,26,6.0,4.4,0.4,0.3,0.9,0.4,56.1,0.5,0.001,18.1,12.6,0,0
2019,100.3,Damyean Dotson,NYK,13,37,44,11,6.0,1.9,1.2,0.4,0.1,0.4,50.1,1.0,0.001,15.5,7.8,0,0
2019,100.3,Trevor Ariza,POR,10,32,45,12,6.0,4.6,1.6,1.1,0.2,0.9,54.3,1.3,0.002,11.1,7.9,0,0
2019,100.3,Nickeil Alexander-Walker,NOP,12,35,44,14,6.0,2.1,2.0,0.3,0.2,1.0,45.4,1.1,0.0,22.5,6.9,0,0
2019,100.3,Chandler Hutchison,CHI,10,18,45,5,5.9,3.1,0.7,0.8,0.3,1.1,53.6,0.4,0.002,16.8,8.3,0,0
2019,100.3,DeAndre' Bembry,ATL,15,43,44,10,5.8,3.5,1.9,1.3,0.4,1.4,50.0,0.3,0.001,13.7,6.9,0,0
2019,100.3,Nicolo Melli,NOP,12,33,44,13,5.8,2.4,1.0,0.6,0.2,0.8,57.8,0.9,0.001,15.5,7.0,0,0
2019,100.3,Kelan Martin,MIN,13,17,43,8,5.8,3.4,0.5,0.2,0.3,0.4,44.1,0.9,0.002,15.7,6.0,0,0
2019,100.3,Skal Labissiere,ATL,15,33,44,14,5.8,5.1,1.3,0.2,0.9,0.9,58.8,0.1,0.001,13.9,9.3,0,0
2019,100.3,Denzel Valentine,CHI,10,24,45,8,5.8,1.8,0.9,0.6,0.2,0.5,55.6,1.2,0.001,21.0,11.3,0,0
2019,100.3,Brandon Goodwin,ATL,15,15,44,5,5.7,1.9,1.5,0.5,0.2,0.9,50.4,0.8,0.001,21.8,9.0,0,0
2019,100.3,Georges Niang,UTA,3,37,43,27,5.7,1.9,0.6,0.2,0.1,0.4,63.0,1.3,0.001,15.6,8.5,0,0
2019,100.3,Tyler Johnson,PHX,11,28,43,10,5.7,1.8,1.7,0.4,0.3,0.8,47.0,0.7,0.001,16.8,5.7,0,0
2019,100.3,Solomon Hill,MIA,2,41,43,20,5.7,3.1,2.0,0.7,0.2,0.8,52.4,1.1,0.001,13.7,7.1,0,0
2019,100.3,Patrick McCaw,TOR,3,22,43,15,5.7,2.2,2.6,1.2,0.2,1.0,52.1,0.7,0.002,10.4,5.5,0,0
2019,100.3,Lonnie Walker IV,SAS,9,34,42,17,5.6,2.1,0.6,0.4,0.1,0.6,51.3,0.5,0.001,20.4,7.6,0,0
2019,100.3,Marco Belinelli,SAS,9,38,42,17,5.6,1.8,1.3,0.2,0.0,0.3,48.2,0.9,0.001,16.6,6.2,0,0
2019,100.3,Mike Scott,PHI,5,45,45,29,5.6,3.4,0.6,0.3,0.1,0.4,52.7,1.1,0.002,12.9,7.0,0,0
2019,100.3,Quinn Cook,LAL,1,29,43,23,5.6,1.3,1.3,0.3,0.0,0.8,53.3,0.7,0.001,19.1,8.1,0,0
2019,100.3,Alex Caruso,LAL,1,40,43,32,5.6,2.0,1.8,1.0,0.3,0.9,53.5,0.7,0.003,13.3,6.8,0,0
2019,100.3,Robin Lopez,MIL,1,42,45,36,5.5,2.7,0.7,0.1,0.7,0.9,55.7,0.4,0.002,16.3,7.0,0,0
2019,100.3,Chris Clemons,HOU,6,24,42,15,5.5,0.8,0.8,0.3,0.2,0.6,58.9,1.4,0.001,23.5,8.8,0,0
