Year,Avg. Pace,PLAYER,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,TS%,3PM,DEFWS,USG%,PIE,Prior ASG Appearances,AS Last Year?,Selected?
1996,90.1,Mookie Blaylock,ATL,5,34,38,23,17.4,4.8,5.6,2.3,0.3,2.4,54.2,3.0,0.005,22.3,14.7,1,0,0
1996,90.1,Detlef Schrempf,SEA,2,39,40,28,16.8,6.9,5.2,1.1,0.2,2.4,58.1,1.1,0.003,20.8,13.8,2,0,1
1996,90.1,Walt Williams,TOR,12,37,39,14,16.8,5.2,2.5,1.4,0.7,2.8,56.2,2.3,0.002,21.9,9.4,0,0,0
1996,90.1,Antonio McDyess,DEN,12,32,40,9,16.8,6.8,1.1,0.7,1.8,2.5,49.6,0.1,0.002,27.6,9.6,0,0,0
1996,90.1,Rony Seikaly,ORL,11,33,36,16,16.7,9.9,1.2,0.8,1.5,2.7,54.6,0.0,0.002,23.9,12.2,0,0,0
1996,90.1,Eddie Jones,LAL,3,41,41,29,16.5,4.0,3.4,2.7,0.6,2.1,56.2,2.0,0.003,19.3,11.3,0,0,1
1996,90.1,Anthony Mason,CHH,6,40,40,23,16.5,10.7,5.3,1.0,0.4,2.3,57.1,0.0,0.002,18.0,14.3,0,0,0
1996,90.1,Shareef Abdur-Rahim,VAN,14,40,41,7,16.5,6.1,1.8,1.1,1.0,2.4,50.5,0.0,0.0,26.2,10.0,0,0,0
1996,90.1,David Wesley,BOS,14,28,36,7,16.4,3.3,7.4,1.9,0.3,2.8,59.0,1.3,0.003,17.8,12.1,0,0,0
1996,90.1,Stephon Marbury,MIN,6,33,40,15,16.2,2.5,7.1,1.0,0.3,2.9,52.0,1.7,0.001,25.5,11.3,0,0,0
1996,90.1,Rod Strickland,WAS,8,40,40,20,16.0,4.4,8.4,1.8,0.2,3.3,51.0,0.2,0.003,22.8,13.3,0,0,0
1996,90.1,Robert Pack,DAL,11,34,38,10,15.9,2.5,9.6,1.7,0.1,4.4,49.4,0.6,0.002,24.2,11.7,0,0,0
1996,90.1,Jim Jackson,NJN,13,37,37,12,15.9,5.1,3.5,1.1,0.4,2.2,53.7,1.2,0.001,20.1,10.2,0,0,0
1996,90.1,Clifford Robinson,POR,5,39,40,22,15.9,3.8,3.1,1.0,0.9,2.5,52.2,1.4,0.002,20.2,8.0,1,0,0
1996,90.1,Kevin Garnett,MIN,6,35,40,18,15.9,8.4,2.9,1.6,2.7,2.5,53.3,0.0,0.003,20.3,13.6,0,0,1
1996,90.1,Kerry Kittles,NJN,13,37,37,10,15.7,3.6,2.9,2.1,0.4,1.6,51.3,1.8,0.002,17.9,9.1,0,0,0
1996,90.1,Dell Curry,CHH,6,39,40,22,15.6,3.1,1.6,1.0,0.3,1.2,55.2,2.0,0.001,21.5,9.7,0,0,0
1996,90.1,Isaiah Rider,POR,5,38,40,21,15.6,4.6,2.7,0.7,0.2,2.8,53.0,1.4,0.002,23.3,9.3,0,0,0
1996,90.1,Cedric Ceballos,PHX,9,13,40,9,15.5,7.2,1.5,0.8,0.6,2.6,53.1,0.5,0.003,21.7,10.3,1,0,0
1996,90.1,Rasheed Wallace,POR,5,27,40,13,15.2,6.8,1.0,0.5,1.1,2.1,61.6,0.1,0.003,21.4,13.1,0,0,0
1996,90.1,Jeff Hornacek,UTA,4,40,40,27,15.1,3.2,3.9,1.4,0.3,1.7,57.8,0.8,0.003,20.6,12.5,1,0,0
1996,90.1,Jayson Williams,NJN,13,25,37,7,15.1,15.5,1.3,0.6,1.1,2.5,48.2,0.0,0.002,19.9,11.5,0,0,0
1996,90.1,Bryant Stith,DEN,12,36,40,10,15.1,4.3,2.5,1.3,0.3,1.6,54.3,1.3,0.001,20.3,10.5,0,0,0
1996,90.1,Sean Elliott,SAS,13,32,37,10,15.1,5.0,3.2,0.8,0.6,2.3,54.3,1.2,0.001,21.2,9.7,2,1,0
1996,90.1,George McCloud,LAL,3,33,41,12,14.6,3.5,2.2,1.4,0.2,1.3,55.7,2.1,0.001,20.8,10.2,0,0,0
1996,90.1,Joe Dumars,DET,2,38,38,28,14.6,2.7,3.5,0.8,0.0,1.8,59.3,1.9,0.003,18.5,11.3,5,0,1
1996,90.1,Lindsey Hunter,DET,2,38,38,28,14.5,3.0,1.9,1.4,0.2,1.1,51.1,2.1,0.003,20.3,7.8,0,0,0
1996,90.1,Anthony Peeler,VAN,14,39,41,8,14.5,3.7,3.8,1.4,0.2,2.1,49.1,1.7,0.001,23.7,9.7,0,0,0
1996,90.1,Chris Mullin,GSW,7,38,39,15,14.4,4.3,4.5,1.8,0.6,2.3,64.9,1.1,0.001,16.6,12.0,5,0,0
1996,90.1,Danny Manning,PHX,9,38,40,14,14.2,6.8,2.3,1.1,0.8,2.4,57.0,0.0,0.002,23.0,12.9,2,0,0
1996,90.1,Dennis Scott,ORL,11,22,36,11,14.1,3.7,1.9,1.0,0.4,1.6,48.3,2.1,0.003,20.9,7.3,0,0,0
1996,90.1,Doug Christie,TOR,12,39,39,14,14.1,6.1,3.9,1.9,0.6,2.7,53.0,1.6,0.002,18.8,10.7,0,0,0
1996,90.1,Nick Van Exel,LAL,3,41,41,29,14.0,2.5,8.7,0.7,0.1,2.6,51.4,1.9,0.002,19.8,11.9,0,0,0
1996,90.1,Arvydas Sabonis,POR,5,40,40,23,14.0,8.2,2.2,0.8,1.4,2.1,59.4,0.8,0.002,23.5,16.0,0,0,0
1996,90.1,Dino Radja,BOS,14,25,36,6,14.0,8.4,1.9,0.9,1.9,2.8,47.1,0.0,0.002,22.4,9.9,0,0,0
1996,90.1,Allan Houston,NYK,4,40,40,28,13.8,3.0,2.0,0.5,0.3,2.1,49.8,1.7,0.004,21.8,6.4,0,0,0
1996,90.1,Toni Kukoc,CHI,1,37,40,33,13.8,4.0,4.0,1.1,0.5,1.5,55.5,1.0,0.003,21.6,13.2,0,0,0
1996,90.1,John Starks,NYK,4,38,40,27,13.7,2.8,3.1,1.0,0.1,2.4,57.4,1.9,0.003,23.6,12.2,1,0,0
1996,90.1,John Stockton,UTA,4,40,40,27,13.7,2.7,10.3,2.0,0.2,3.2,63.2,1.1,0.003,18.1,15.8,8,1,1
1996,90.1,Rik Smits,IND,8,8,38,5,13.6,6.1,0.9,0.0,0.9,1.6,54.0,0.0,0.0,27.5,13.0,0,0,0
1996,90.1,Rick Fox,BOS,14,36,36,9,13.6,6.0,3.7,2.1,0.5,2.3,52.7,0.6,0.002,20.4,10.8,0,0,0
1996,90.1,Sam Cassell,NJN,13,33,37,11,13.6,2.5,4.0,1.0,0.3,2.7,53.4,0.8,0.002,28.2,11.8,0,0,0
1996,90.1,Mahmoud Abdul-Rauf,SAC,8,36,40,15,13.4,1.9,2.7,0.7,0.1,1.8,51.0,1.0,0.001,23.1,8.2,0,0,0
1996,90.1,Antoine Walker,BOS,14,36,36,9,13.3,7.8,2.0,1.0,0.4,2.7,46.4,0.3,0.001,24.4,7.8,0,0,0
1996,90.1,Chris Mills,CLE,7,39,39,22,13.3,6.3,2.1,1.0,0.5,1.5,56.2,1.0,0.004,17.0,11.1,0,0,0
1996,90.1,Bryant Reeves,VAN,14,36,41,8,13.0,7.5,2.2,0.5,1.0,2.3,48.2,0.0,0.001,20.3,7.3,0,0,0
1996,90.1,Nick Anderson,ORL,11,21,36,14,13.0,5.3,3.0,1.7,0.6,1.5,48.4,2.2,0.004,18.5,9.6,0,0,0
1996,90.1,Dikembe Mutombo,ATL,5,37,38,25,12.9,12.4,1.3,0.4,3.6,2.4,57.2,0.0,0.005,17.1,15.1,3,1,1
1996,90.1,Bobby Phills,CLE,7,35,39,20,12.9,3.7,4.1,1.6,0.3,2.2,53.3,1.5,0.003,20.2,10.2,0,0,0
1996,90.1,Malik Sealy,LAC,10,36,38,13,12.8,3.4,1.9,1.4,0.6,2.0,50.1,0.4,0.001,21.2,9.0,0,0,0
1996,90.1,Brian Grant,SAC,8,5,40,2,12.8,8.0,0.8,1.2,1.6,2.0,46.7,0.0,0.004,21.2,11.3,0,0,0
1996,90.1,Otis Thorpe,DET,2,38,38,28,12.8,7.9,1.7,0.6,0.3,1.8,54.8,0.0,0.003,20.4,11.0,1,0,0
1996,90.1,Dan Majerle,MIA,3,26,40,19,12.7,5.1,3.7,1.7,0.4,1.7,51.8,2.2,0.005,15.7,10.3,3,0,0
1996,90.1,Ray Allen,MIL,10,39,39,19,12.7,4.2,2.5,1.0,0.1,1.8,53.0,1.3,0.002,20.9,9.0,0,0,0
1996,90.1,Loy Vaught,LAC,10,38,38,14,12.7,10.8,1.1,1.1,0.3,1.7,48.1,0.1,0.001,19.8,12.7,0,0,0
1996,90.1,Horace Grant,ORL,11,31,36,14,12.5,9.4,2.6,1.5,0.8,1.7,51.1,0.0,0.003,16.1,12.4,1,0,0
1996,90.1,Vlade Divac,CHH,6,39,40,22,12.5,9.7,2.9,1.0,1.5,2.3,51.8,0.2,0.003,20.1,11.7,0,0,0
1996,90.1,Dana Barros,BOS,14,24,36,6,12.5,2.0,3.4,1.1,0.3,1.6,55.2,1.8,0.002,18.3,10.2,1,0,0
1996,90.1,Olden Polynice,SAC,8,40,40,16,12.5,8.8,2.0,0.4,1.0,1.8,46.7,0.0,0.001,19.4,8.1,0,0,0
1996,90.1,Rodney Rogers,LAC,10,38,38,14,12.4,4.7,3.1,1.0,0.8,2.6,50.1,0.7,0.002,21.0,7.5,0,0,0
1996,90.1,Gerald Wilkins,ORL,11,35,36,16,12.4,2.8,2.6,0.8,0.3,1.9,50.2,0.9,0.002,19.4,7.3,0,0,0
1996,90.1,Clar. Weatherspoon,PHI,15,39,39,8,12.3,8.6,1.6,0.8,0.7,1.6,55.9,0.0,0.001,14.7,10.8,0,0,0
1996,90.1,Wesley Person,PHX,9,40,40,15,12.2,3.9,1.7,1.2,0.2,1.2,53.1,1.5,0.002,18.2,9.4,0,0,0
1996,90.1,Vernon Maxwell,SAS,13,37,37,10,12.2,2.7,2.1,1.2,0.3,2.1,44.3,1.2,0.001,23.5,5.4,0,0,0
1996,90.1,Marcus Camby,TOR,12,23,39,9,12.1,4.8,1.1,1.2,1.9,1.9,55.3,0.0,0.002,22.9,11.2,0,0,0
1996,90.1,Shawn Bradley,DAL,11,28,38,9,12.1,8.7,0.6,0.6,4.3,1.8,46.6,0.0,0.003,19.9,10.2,0,0,0
1996,90.1,Hersey Hawkins,SEA,2,40,40,29,12.0,3.8,2.8,1.6,0.1,1.6,58.2,1.6,0.003,16.0,9.9,1,0,0
1996,90.1,Larry Johnson,NYK,4,34,40,23,12.0,4.4,2.2,0.9,0.4,1.9,55.9,0.4,0.003,17.6,8.3,2,0,0
1996,90.1,Michael Finley,DAL,11,39,38,12,11.9,4.1,2.2,0.6,0.2,1.5,54.0,0.6,0.002,19.9,10.7,0,0,0
1996,90.1,Mark Price,GSW,7,37,39,14,11.9,2.8,5.1,1.2,0.0,2.2,59.2,1.7,0.001,19.2,12.1,4,0,0
1996,90.1,Avery Johnson,SAS,13,37,37,10,11.9,1.8,6.8,1.6,0.2,2.4,52.0,0.1,0.001,18.4,10.4,0,0,0
1996,90.1,Tyrone Hill,CLE,7,36,39,22,11.9,9.2,1.2,0.8,0.5,2.1,60.7,0.0,0.004,17.7,12.0,1,0,0
1996,90.1,Elden Campbell,LAL,3,41,41,29,11.9,8.1,1.4,0.7,1.3,1.5,49.4,0.0,0.003,18.7,9.4,0,0,0
1996,90.1,Sasha Danilovic,DAL,11,33,38,23,11.8,2.5,1.9,0.9,0.2,2.4,55.0,1.5,0.004,17.4,6.2,0,0,0
1996,90.1,Eric Williams,BOS,14,36,36,9,11.8,4.5,1.6,0.8,0.1,1.6,51.9,0.0,0.002,18.9,7.0,0,0,0
1996,90.1,Sam Perkins,SEA,2,40,40,29,11.6,3.7,1.3,1.1,0.5,1.0,60.7,1.9,0.002,19.3,12.6,0,0,0
1996,90.1,Travis Best,IND,8,37,38,18,11.5,2.3,4.6,1.5,0.1,2.4,52.4,0.6,0.004,20.6,10.0,0,0,0
1996,90.1,Corliss Williamson,SAC,8,37,40,14,11.3,4.2,1.7,0.8,0.5,2.0,52.0,0.0,0.001,22.5,8.5,0,0,0
1996,90.1,Billy Owens,SAC,8,34,40,13,11.3,6.7,3.1,0.9,0.4,2.3,50.1,0.4,0.002,18.9,9.9,0,0,0
1996,90.1,Antonio Davis,IND,8,38,38,19,11.1,8.0,0.7,0.6,1.3,1.8,53.5,0.0,0.004,19.6,12.0,0,0,0
1996,90.1,Mario Elie,HOU,1,40,41,31,10.9,2.4,3.5,1.1,0.1,1.8,62.5,1.3,0.003,13.5,7.8,0,0,0
1996,90.1,Rex Chapman,PHX,9,37,40,12,10.8,2.4,2.4,0.8,0.1,1.5,51.4,1.1,0.001,21.3,9.1,0,0,0
1996,90.1,Tyrone Corbin,ATL,5,31,38,22,10.7,5.1,1.6,1.6,0.1,1.5,54.0,0.8,0.005,16.2,9.3,0,0,0
1996,90.1,Todd Day,BOS,14,35,36,8,10.7,3.4,1.1,1.2,0.4,1.5,51.2,0.8,0.001,22.9,9.0,0,0,0
1996,90.1,Greg Anthony,VAN,14,28,41,4,10.6,2.8,5.6,2.1,0.1,1.9,54.5,1.8,0.001,18.4,13.1,0,0,0
1996,90.1,Stanley Roberts,LAC,10,16,38,6,10.6,5.5,0.6,0.4,1.3,1.4,49.4,0.0,0.004,23.8,11.3,0,0,0
1996,90.1,Carlos Rogers,TOR,12,30,39,11,10.5,5.8,0.7,0.8,1.4,1.1,60.1,0.6,0.002,15.9,11.2,0,0,0
1996,90.1,Sherman Douglas,MIL,10,39,39,19,10.5,2.9,5.6,1.1,0.2,1.8,55.6,0.5,0.002,16.4,10.1,0,0,0
1996,90.1,Chris Childs,NYK,4,28,40,18,10.4,2.5,5.8,1.1,0.1,2.9,56.9,1.2,0.003,18.8,10.8,0,0,0
1996,90.1,Terry Mills,DET,2,38,38,28,10.3,4.5,1.3,0.6,0.2,1.2,60.9,2.3,0.003,19.5,12.4,0,0,0
1996,90.1,Jamal Mashburn,MIA,3,30,40,9,10.1,3.1,2.3,1.0,0.1,1.6,46.0,1.2,0.001,22.2,7.5,0,0,0
1996,90.1,Bryon Russell,UTA,4,39,40,26,10.1,4.3,1.6,1.3,0.4,1.3,58.4,1.2,0.003,14.9,7.6,0,0,0
1996,90.1,Blue Edwards,VAN,14,32,41,6,10.0,3.7,2.1,0.7,0.3,1.6,50.3,0.5,0.0,20.1,7.9,0,0,0
1996,90.1,Sam Mitchell,MIN,6,40,40,18,9.9,4.8,1.2,0.6,0.2,1.3,50.6,0.1,0.001,17.4,7.2,0,0,0
1996,90.1,Danny Ferry,CLE,7,39,39,22,9.8,4.0,2.0,0.7,0.4,1.3,53.8,1.4,0.002,16.7,8.0,0,0,0
1996,90.1,Mark Jackson,IND,8,39,38,11,9.8,4.8,12.5,1.0,0.2,3.3,50.7,1.0,0.002,15.0,13.2,1,0,0
1996,90.1,Dale Davis,IND,8,36,38,19,9.8,9.9,0.8,0.8,0.9,1.6,50.8,0.0,0.003,15.7,11.5,0,0,0
1996,90.1,Jason Kidd,PHX,9,23,40,9,9.7,4.2,9.1,2.1,0.3,3.0,46.6,0.9,0.001,16.8,11.3,1,1,0
1996,90.1,Greg Minor,BOS,14,23,36,6,9.6,3.5,1.5,0.7,0.1,1.0,51.9,0.0,0.003,18.4,9.5,0,0,0
1996,90.1,Darrick Martin,LAC,10,38,38,14,9.6,1.1,3.6,0.6,0.0,1.5,55.6,0.8,0.001,23.3,11.7,0,0,0
1996,90.1,Gheorghe Muresan,WAS,8,34,40,18,9.5,6.4,0.4,0.6,1.4,1.4,59.7,0.0,0.003,16.7,10.3,0,0,0
1996,90.1,Voshon Lenard,MIA,3,31,40,21,9.5,2.3,1.5,0.7,0.2,1.0,61.9,2.2,0.002,18.7,12.2,0,0,0
1996,90.1,Gary Trent,POR,5,40,40,23,9.5,4.6,0.8,0.4,0.4,1.8,55.9,0.0,0.002,20.1,10.0,0,0,0
1996,90.1,Matt Geiger,CHH,6,25,40,15,9.4,5.2,0.8,0.4,0.6,1.6,51.6,0.2,0.0,22.6,7.9,0,0,0
1996,90.1,Charles Oakley,NYK,4,38,40,26,9.4,9.4,2.9,1.3,0.3,2.1,52.0,0.1,0.004,14.4,11.3,1,0,0
1996,90.1,Matt Maloney,HOU,1,41,41,31,9.4,2.0,3.4,1.0,0.0,1.4,59.4,1.9,0.002,13.8,7.9,0,0,0
1996,90.1,Derek Harper,DAL,11,37,38,13,9.4,1.6,4.1,1.0,0.1,1.8,54.2,0.9,0.001,17.5,9.3,0,0,0
1996,90.1,Calbert Cheaney,WAS,8,37,40,18,9.3,2.9,1.1,0.9,0.2,1.1,55.0,0.1,0.002,15.7,6.9,0,0,0
1996,90.1,Vinny Del Negro,SAS,13,28,37,6,9.3,2.6,3.4,0.7,0.1,1.1,51.5,0.7,0.001,17.1,10.0,0,0,0
